IBOrderID,qty,pnl,basis,netcash,date
634622816,-179,-93.32759,-5788.073938,5694.746348,2025-09-22;140108
634622938,-6,-260.00126,-5538.940132,5278.938872,2025-09-22;140050
634641041,-1395,651.35705,-5656.75569,6308.1127400000005,2025-09-22;144654
635018495,-5200,310.908,-6266.1144,6577.0224,2025-09-23;140025
635018749,-751,142.53229,-5088.0415219999995,5230.5738120000005,2025-09-23;140029
635024398,-958,699.13882,-6816.191076,7515.329896,2025-09-23;141109
635310108,-37,56.82223,-6044.210814,6101.033044,2025-09-24;140035
635310109,-2434,-279.91114,-5951.183548,5671.272408,2025-09-24;140038
635310249,-4101,-451.97121,-7238.355222,6786.3840119999995,2025-09-24;140043
635626974,-5043,1158.83097,-5976.065946,7134.896916,2025-09-25;140015
635627984,-887,-1524.82627,-5227.884513999999,3703.058244,2025-09-25;140048
635927473,-105,-49.177222,-5272.957482,5223.78026,2025-09-26;140057
636267758,-535,5.2376499999999995,-6470.83677,6476.07442,2025-09-29;140053
636267855,-644,234.14476000000002,-6183.194168,6417.338928,2025-09-29;140057
636612941,-6,-210.86126,-5747.680132,5536.818872,2025-09-30;140015
636612973,-11,-21.887138,-552.40507,530.517932,2025-09-30;140010
637061421,-26,-104.18546,-7047.000572,6942.815112,2025-10-01;140049
637061866,-1907,152.15953000000002,-5044.056954,5196.2164840000005,2025-10-01;140040
637062044,-372,22.241880000000002,-5447.948184,5470.190064,2025-10-01;140054
637067031,-1163,307.76577,-5146.300586,5454.066356,2025-10-01;140712
637476311,-6,278.97874,-5545.600132,5824.578872,2025-10-02;140044
637476507,-722,36.938379999999995,-4803.925884,4840.864264,2025-10-02;140039
637892242,-5,-177.00105,-4901.00011,4723.99906,2025-10-03;140110
637892423,-509,55.883109999999995,-4812.606198,4868.489308,2025-10-03;140105
638331452,-870,792.8173,-7458.96914,8251.78644,2025-10-06;140037
638332799,-454,167.88466,-5114.319988,5282.204648,2025-10-06;140413
638805876,-137,3.45123,-6618.103014,6621.554244,2025-10-07;140022
638805879,-579,239.84841,-4910.247738,5150.0961480000005,2025-10-07;140025
638806099,-5,-63.284383,-4798.633443,4735.34906,2025-10-07;140017
638806141,-6,-67.027926,-5758.526799,5691.498872,2025-10-07;140045
638806354,-375,18.67125,-5019.38325,5038.0545,2025-10-07;140035
638806516,-34,-808.644787,-5819.918395,5011.273608,2025-10-07;140030
638806610,-1121,-280.48541,-6070.239662,5789.754252,2025-10-07;140040
639217266,-165,73.46535,-4977.80363,5051.26898,2025-10-08;155528
639217596,-79,22.47341,-5546.011738,5568.485148,2025-10-08;155609
639217764,-2580,257.4582,-5482.5567599999995,5740.01496,2025-10-08;155644
639219168,-3179,-285.45759,-10092.074938,9806.617348,2025-10-08;155730
639601776,-301,-45.213210000000004,-5913.151621999999,5867.9384119999995,2025-10-09;140052
639601779,-52,-64.93092,-4868.721144,4803.790224,2025-10-09;140058
639601820,-300,454.937,-3593.5065999999997,4048.4435999999996,2025-10-09;140106
639601956,-5,-71.734383,-4655.733443,4583.99906,2025-10-09;140102
639602134,-404,-32.40484,-5746.908888,5714.504048,2025-10-09;140112
640356253,-664,605.100561,-6444.134607,7049.235168,2025-10-13;140054
640356369,-1,-40.996877,-931.146689,890.149812,2025-10-13;140059
640357611,-1537,1269.51223,-5999.893814,7269.406044,2025-10-13;140314
640359049,-1235,1045.39065,-4802.10217,5847.4928199999995,2025-10-13;140608
640359050,-1543,1312.57097,-5993.243946,7305.814916,2025-10-13;140611
640363647,-875,-105.18375,-5411.89425,5306.7105,2025-10-13;141615
640707815,-796,-111.60716000000001,-5042.677512,4931.070352,2025-10-14;140056
640707943,-70,130.2853,-5003.90154,5134.18684,2025-10-14;140043
640707992,-736,161.76544,-5715.056192,5876.821631999999,2025-10-14;140048
640708039,-318,-60.48678,-5890.956996,5830.470216000001,2025-10-14;140053
