CurrencyPrimary,IBCommission,Open/CloseIndicator,CostBasis,FifoPnlRealized,LevelOfDetail,trade_date
USD,-1.0188,C,-623.0022,-6.021,EXECUTION,2025-08-13
USD,-0.5376,C,-1244.5049,-9.0425,EXECUTION,2025-08-13
USD,-1.0376,C,-1245.0044,-10.042,EXECUTION,2025-08-13
USD,-1.5564,C,-1867.5066,-15.063,EXECUTION,2025-08-13
USD,-1.0376,C,-1245.0044,-10.042,EXECUTION,2025-08-13
USD,-0.918276,C,-1101.828894,-8.88717,EXECUTION,2025-08-13
USD,-1.0188,C,-3046.0022,88.979,EXECUTION,2025-08-07
USD,-0.0188,C,-3045.0022,90.979,EXECUTION,2025-08-07
USD,-0.05188,C,-304.55022,8.9979,EXECUTION,2025-08-07
USD,-1.011092,C,-1908.061298,-35.23239,EXECUTION,2025-08-11
USD,-0.007708,C,-1325.940902,-23.78861,EXECUTION,2025-08-11
USD,-0.011092,C,-1907.471298,-33.64239,EXECUTION,2025-08-11
USD,-1.0188,C,-3299.0022,-83.021,EXECUTION,2025-09-11
USD,-0.0188,C,-3298.0022,-84.021,EXECUTION,2025-09-11
USD,-0.10376,C,-659.50044,-16.8042,EXECUTION,2025-09-11
USD,-1.047976,C,-7765.774444,398.01758,EXECUTION,2025-08-20
USD,-1.0376,C,-345.0044,41.958,EXECUTION,2025-07-23
USD,-15.180088,C,-5046.414372,614.84554,EXECUTION,2025-07-23
USD,-1.5564,C,-517.2466,63.197,EXECUTION,2025-07-23
USD,-0.5188,C,-171.5022,21.979,EXECUTION,2025-07-23
USD,-0.342408,C,-113.191452,14.50614,EXECUTION,2025-07-23
USD,-1.0188,C,-149.5022,4.479,EXECUTION,2025-08-14
USD,-1.5752,C,-598.0088,20.416,EXECUTION,2025-08-14
USD,-0.5188,C,-149.5022,4.979,EXECUTION,2025-08-14
USD,-5.188,C,-1495.022,49.79,EXECUTION,2025-08-14
USD,-5.177624,C,-1492.032456,49.68992,EXECUTION,2025-08-14
USD,-0.425416,C,-122.591804,4.08278,EXECUTION,2025-08-14
USD,-2.0752,C,-598.0088,19.916,EXECUTION,2025-08-14
USD,-0.5188,C,-149.5022,4.979,EXECUTION,2025-08-14
USD,-0.5188,C,-149.5022,4.979,EXECUTION,2025-08-14
USD,-1.002156,C,209.060913,-137.881243,EXECUTION,2025-07-07
USD,-1.447452,C,-6407.241138,-295.79859,EXECUTION,2025-08-01
USD,-1.281436,C,-5462.410434,56.75813,EXECUTION,2025-08-05
USD,-1.540836,C,-6921.591534,308.81763,EXECUTION,2025-08-26
USD,-1.0376,C,-4930.0044,6.958,EXECUTION,2025-09-10
USD,-0.223084,C,-1060.165946,1.28097,EXECUTION,2025-09-10
USD,-1.010716,C,-1409.041254,-2.72197,EXECUTION,2025-09-10
USD,-0.0188,C,-2471.4322,-2.451,EXECUTION,2025-09-10
USD,-0.000376,C,-49.420044,-0.04042,EXECUTION,2025-09-10
USD,-0.3138,C,-2470.2972,-1.611,EXECUTION,2025-09-10
USD,-1.411136,C,-6597.365984,179.46288,EXECUTION,2025-09-18
USD,-3.1128,C,-927.304867,-36.417667,EXECUTION,2025-08-21
USD,-0.5188,C,-154.460533,-5.979333,EXECUTION,2025-08-21
USD,-0.508424,C,-151.371323,-5.859747,EXECUTION,2025-08-21
USD,-6.7444,C,-2008.320423,-78.064823,EXECUTION,2025-08-21
USD,-7.782,C,-2317.53301,-90.31501,EXECUTION,2025-08-21
USD,-0.10376,C,-30.90044,-1.2042,EXECUTION,2025-08-21
USD,-1.0376,C,-435.0044,9.958,EXECUTION,2025-09-02
USD,-1.5564,C,-652.8066,143.637,EXECUTION,2025-09-10
USD,-2.0752,C,-869.7088,192.216,EXECUTION,2025-09-10
USD,-2.0752,C,-870.0088,191.916,EXECUTION,2025-09-10
USD,-4.134836,C,-1733.492534,382.39263,EXECUTION,2025-09-10
USD,-0.5188,C,-217.5022,47.979,EXECUTION,2025-09-10
USD,-0.5188,C,-217.5022,47.979,EXECUTION,2025-09-10
USD,-0.18158,C,-76.12577,16.79265,EXECUTION,2025-09-10
USD,-0.5193,C,-217.5022,47.9785,EXECUTION,2025-09-10
USD,-1.0188,C,-1852.849658,-19.868458,EXECUTION,2025-10-14
USD,-0.605044,C,-3945.482228,-39.667272,EXECUTION,2025-10-14
USD,-0.02594,C,-92.62511,-0.95105,EXECUTION,2025-10-14
USD,-1.009776,C,-4868.721144,-64.93092,EXECUTION,2025-10-09
USD,-1.001316,C,-3574.290154,67.64853,EXECUTION,2025-07-07
USD,-1.0188,C,-3144.0022,-26.021,EXECUTION,2025-08-04
USD,-0.01316,C,-2200.10154,-18.9147,EXECUTION,2025-08-04
USD,-4.1504,C,-884.0176,47.832,EXECUTION,2025-08-05
USD,-5.188,C,-1105.022,59.79,EXECUTION,2025-08-05
USD,-4.1504,C,-884.0176,47.832,EXECUTION,2025-08-05
USD,-5.7068,C,-1215.5242,65.769,EXECUTION,2025-08-05
USD,-1.0376,C,-221.0044,11.958,EXECUTION,2025-08-05
USD,-5.188,C,-1105.022,59.79,EXECUTION,2025-08-05
USD,-0.939028,C,-200.008982,10.82199,EXECUTION,2025-08-05
USD,-1.015416,C,-3932.081804,-88.11722,EXECUTION,2025-07-07
USD,-1.0188,C,-263.0022,22.979,EXECUTION,2025-08-05
USD,-0.0188,C,-262.335533,24.645667,EXECUTION,2025-08-05
USD,-6.7444,C,-3412.195267,312.060333,EXECUTION,2025-08-05
USD,-1.5564,C,-787.5066,71.937,EXECUTION,2025-08-05
USD,-0.378724,C,-191.626606,17.50467,EXECUTION,2025-08-05
